"Wave","Domein","Subdomein","API-route","Methods","Auth","Bestand","Status"
"2","admin","inkoop","/api/admin/inkoop/leveranciers","DELETE/GET/POST","admin-token","admin/inkoop/leveranciers.js","todo"
"2","admin","inkoop","/api/admin/inkoop/open","GET","admin-token","admin/inkoop/open.js","todo"
"2","admin","inkoop","/api/admin/inkoop/orders","DELETE/GET/POST","admin-token","admin/inkoop/orders.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/check-order","GET","admin-token","admin/order-cancellations/check-order.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/process","POST","admin-token","admin/order-cancellations/process.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/report","GET","admin-token","admin/order-cancellations/report.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/sync-srs","GET/POST","admin-token","admin/order-cancellations/sync-srs.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/sync-srs-all","GET/POST","admin-token","admin/order-cancellations/sync-srs-all.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/sync-srs-order","GET/POST","admin-token","admin/order-cancellations/sync-srs-order.js","todo"
"2","admin","order-cancellations","/api/admin/order-cancellations/sync-srs-orders","GET/POST","admin-token","admin/order-cancellations/sync-srs-orders.js","todo"
"2","admin","return-logs","/api/admin/return-logs/auto-link","GET/POST","admin-token","admin/return-logs/auto-link.js","todo"
"2","admin","return-logs","/api/admin/return-logs/bulk-link","POST","admin-token","admin/return-logs/bulk-link.js","todo"
"2","admin","return-logs","/api/admin/return-logs/delete-orphans","POST","admin-token","admin/return-logs/delete-orphans.js","todo"
"2","admin","return-logs","/api/admin/return-logs/update","POST","admin-token","admin/return-logs/update.js","todo"
"2","admin","sendcloud-labels","/api/admin/sendcloud-labels/report","GET/POST","admin-token","admin/sendcloud-labels/report.js","todo"
"2","admin","stock-negative","/api/admin/stock-negative/debug-file","GET","admin-token","admin/stock-negative/debug-file.js","todo"
"2","admin","stock-negative","/api/admin/stock-negative/report","GET","admin-token","admin/stock-negative/report.js","todo"
"2","admin","stock-negative","/api/admin/stock-negative/sftp-test","GET","admin-token","admin/stock-negative/sftp-test.js","todo"
"2","admin","stock-negative","/api/admin/stock-negative/sync","GET/POST","admin-token","admin/stock-negative/sync.js","todo"
"2","admin","stock","/api/admin/stock/snapshot","GET","admin-token","admin/stock/snapshot.js","todo"
"2","admin","unavailable-order-lines","/api/admin/unavailable-order-lines/backfill-cancelled-2026","GET/POST","admin-token","admin/unavailable-order-lines/backfill-cancelled-2026.js","todo"
"2","admin","unavailable-order-lines","/api/admin/unavailable-order-lines/dashboard","GET","admin-token","admin/unavailable-order-lines/dashboard.js","todo"
"2","admin","unavailable-order-lines","/api/admin/unavailable-order-lines/debug","GET","admin-token","admin/unavailable-order-lines/debug.js","todo"
"2","admin","unavailable-order-lines","/api/admin/unavailable-order-lines/process","POST","admin-token","admin/unavailable-order-lines/process.js","todo"
"2","transport","","/api/transport/dhl-noshow","GET/PATCH/POST","open/store","transport/dhl-noshow.js","todo"
"3","admin","customer","/api/admin/customer/stock-suggestion","GET","admin-token","admin/customer/stock-suggestion.js","todo"
"3","admin","customer","/api/admin/customer/sync-offline-purchases","POST","admin-token","admin/customer/sync-offline-purchases.js","todo"
"3","admin","customer","/api/admin/customer/sync-preferences-to-shopify","POST","admin-token","admin/customer/sync-preferences-to-shopify.js","todo"
"3","admin","customers","/api/admin/customers/month-report","GET?","admin-token","admin/customers/month-report.js","todo"
"3","admin","customers","/api/admin/customers/monthly-store-report","GET?","admin-token","admin/customers/monthly-store-report.js","todo"
"3","admin","customers","/api/admin/customers/weekly-report","GET","admin-token","admin/customers/weekly-report.js","todo"
"3","admin","kpis","/api/admin/kpis/migrate-customer-targets","POST","admin-token","admin/kpis/migrate-customer-targets.js","todo"
"3","admin","kpis","/api/admin/kpis/registry","DELETE/GET/PATCH","admin-token","admin/kpis/registry.js","todo"
"3","admin","kpis","/api/admin/kpis/report-bindings","DELETE/GET/PUT","admin-token","admin/kpis/report-bindings.js","todo"
"3","admin","kpis","/api/admin/kpis/targets","DELETE/GET/POST","admin-token","admin/kpis/targets.js","todo"
"3","admin","kpis","/api/admin/kpis/values","GET","admin-token","admin/kpis/values.js","todo"
"3","admin","metrics","/api/admin/metrics/ux","GET","admin-token","admin/metrics/ux.js","todo"
"3","admin","points","/api/admin/points/eligible-voucher-customers","GET/POST","admin-token","admin/points/eligible-voucher-customers.js","todo"
"3","admin","points","/api/admin/points/generate-eligible-vouchers","GET/POST","admin-token","admin/points/generate-eligible-vouchers.js","todo"
"3","admin","points","/api/admin/points/stats","GET","admin-token","admin/points/stats.js","todo"
"3","admin","points","/api/admin/points/sync-shopify-metafields","GET/POST","admin-token","admin/points/sync-shopify-metafields.js","todo"
"3","admin","region-report","/api/admin/region-report/config","GET/POST","admin-token","admin/region-report/config.js","todo"
"3","admin","region-report","/api/admin/region-report/status","GET","admin-token","admin/region-report/status.js","todo"
"3","admin","region-report","/api/admin/region-report/weekly-overdue-memory","GET","admin-token","admin/region-report/weekly-overdue-memory.js","todo"
"3","admin","reports","/api/admin/reports/catalog","GET","admin-token","admin/reports/catalog.js","todo"
"3","admin","reports","/api/admin/reports/export","GET/POST","admin-token","admin/reports/export.js","todo"
"3","admin","scoreboard","/api/admin/scoreboard/omnichannel","GET","admin-token","admin/scoreboard/omnichannel.js","todo"
"3","admin","scoreboard","/api/admin/scoreboard/omnichannel-v2","GET","admin-token","admin/scoreboard/omnichannel-v2.js","todo"
"3","admin","vouchers","/api/admin/vouchers/bulk-generate","POST","admin-token","admin/vouchers/bulk-generate.js","todo"
"3","admin","vouchers","/api/admin/vouchers/generate","POST","admin-token","admin/vouchers/generate.js","todo"
"3","admin","vouchers","/api/admin/vouchers/loyalty-run","GET/POST","admin-token","admin/vouchers/loyalty-run.js","todo"
"3","admin","vouchers","/api/admin/vouchers/loyalty-run-refresh","GET/POST","admin-token","admin/vouchers/loyalty-run-refresh.js","todo"
"3","admin","vouchers","/api/admin/vouchers/mail-quality","GET","admin-token","admin/vouchers/mail-quality.js","todo"
"3","admin","vouchers","/api/admin/vouchers/reminders-preview","GET","admin-token","admin/vouchers/reminders-preview.js","todo"
"3","admin","vouchers","/api/admin/vouchers/report","GET","admin-token","admin/vouchers/report.js","todo"
"3","admin","vouchers","/api/admin/vouchers/send-pending-emails","GET/POST","admin-token","admin/vouchers/send-pending-emails.js","todo"
"3","admin","vouchers","/api/admin/vouchers/sync-srs-closed","POST","admin-token","admin/vouchers/sync-srs-closed.js","todo"
"3","admin","vouchers","/api/admin/vouchers/test-mail","GET/POST","admin-token","admin/vouchers/test-mail.js","todo"
"3","customers","","/api/customers/month-report","GET?","open/store","customers/month-report.js","todo"
"3","customers","","/api/customers/search","GET","open/store","customers/search.js","todo"
"4","admin","declarations","/api/admin/declarations/:id","PATCH","admin-token","admin/declarations/[id].js","todo"
"4","admin","declarations","/api/admin/declarations/report","GET/POST","admin-token","admin/declarations/report.js","todo"
"4","admin","hr","/api/admin/hr/applicants","GET/POST","admin-token","admin/hr/applicants.js","todo"
"4","admin","hr","/api/admin/hr/productivity","GET","admin-token","admin/hr/productivity.js","todo"
"4","admin","hr","/api/admin/hr/vacancies","DELETE/GET/POST","admin-token","admin/hr/vacancies.js","todo"
"4","admin","hr","/api/admin/hr/verlof","GET","admin-token","admin/hr/verlof.js","todo"
"4","admin","hr","/api/admin/hr/verzuim","GET","admin-token","admin/hr/verzuim.js","todo"
"4","admin","office-users","/api/admin/office-users/invite","POST","admin-token","admin/office-users/invite.js","todo"
"4","admin","personnel","/api/admin/personnel/list","GET","admin-token","admin/personnel/list.js","todo"
"4","admin","report-builder","/api/admin/report-builder/query","POST","admin-token","admin/report-builder/query.js","todo"
"4","admin","report-builder","/api/admin/report-builder/sources","GET","admin-token","admin/report-builder/sources.js","todo"
"4","admin","report-builder","/api/admin/report-builder/templates","DELETE/GET/POST/PUT","admin-token","admin/report-builder/templates.js","todo"
